acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year,hype_score
0.0219,['Sticky Fingers'],0.472,219027,0.69,0,0O0M44llUQuPdJAkROQRch,0.0,0.0992,-8.092,Australia Street,66,0.0443,77.47800000000002,0.512,2013,14.647010000000003
0.00133,['A Day To Remember'],0.441,207778,0.967,0,6IzSiFDDTdcHjL9uBgyAiG,0.0,0.162,-3.044,Best Of Me,52,0.173,160.007,0.64,2013,21.578867
0.00114,['Ben Rector'],0.4320000000000001,226093,0.816,0,0bJBEgt9oa0aCQuzvtEFVu,1.62e-06,0.144,-6.086,When I'm With You,51,0.0339,158.166,0.282,2013,21.247686
0.0122,['PARTYNEXTDOOR'],0.408,243493,0.72,1,7Dx08NB4kG5k7xW3iRc5nM,0.0,0.507,-3.045,Right Now,53,0.136,83.49600000000002,0.0525,2013,13.945980000000002
0.00028,['All Time Low'],0.475,213741,0.987,0,0TPF6uW7fhMXJPoBERqTy5,2.4e-06,0.335,-3.515,A Love Like War (feat. Vic Fuentes),54,0.121,162.005,0.632,2013,21.991572000000005
0.0754,['Andrew Belle'],0.494,241119,0.652,0,2DHDuADAHoUW6n0z80RLQF,0.00256,0.125,-5.863,Pieces,56,0.0314,137.018,0.298,2013,19.58866
0.00774,['Linkin Park'],0.466,217613,0.852,0,3aYBjxTMvrEOP0A0UXg9ER,2.6e-06,0.0989,-4.487,Final Masquerade,63,0.0585,164.032,0.428,2014,23.051226000000003
0.0077599999999999,['Hippie Sabotage'],0.359,239754,0.557,0,5iyFrZpv5f4oWQCWMKfj52,0.00434,0.475,-9.184,Ridin Solo - Njomza Remix,54,0.0959,147.351,0.0497,2014,20.373224000000004
3.9e-05,['together PANGEA'],0.263,246947,0.853,1,14q1CWouLEjFT6zu5re8hR,0.362,0.0839,-4.532,Sick Shit,54,0.0727,120.982,0.355,2014,17.8066961
0.0193,['The Cab'],0.498,263213,0.7020000000000001,0,37OjMlwuUVWWmVKrV8CiUQ,3.68e-06,0.0669,-7.832999999999997,Stand Up,56,0.0401,79.3,0.542,2014,13.83827
0.183,"['3LAU', 'Bright Lights']",0.496,210469,0.789,0,1nas007nDbzLwDGwvMdz79,0.0,0.34,-3.648,How You Love Me,52,0.0839,127.961,0.286,2014,18.3137
0.0128,['Coldplay'],0.499,216627,0.502,0,0FMjqbY3aWo1QDbo3GwXib,0.687,0.068,-9.307,Always in My Head,64,0.0254,97.544,0.0397,2014,16.40352
0.186,['Jhené Aiko'],0.419,198240,0.352,1,3vMVipXhMeZt3wWbSBD4th,2.13e-05,0.175,-13.089,Remember,53,0.05,112.716,0.239,2014,16.7424
0.000252,['5 Seconds of Summer'],0.475,204620,0.942,0,4Ulq0gMDyMQuwKbM2ocx9x,0.0,0.101,-4.775,Kiss Me Kiss Me,52,0.0966,150.049,0.397,2014,20.5824748
0.0299,['Real Estate'],0.408,187733,0.875,0,0ZwlxoHAnvkCRjsOrHAleU,0.823,0.1689999999999999,-6.0360000000000005,Talking Backwards,54,0.0301,150.782,0.56,2014,20.81931
0.0611,['Colony House'],0.402,217987,0.591,0,7AuBNOScoZCBtjKp3CVlz9,3.26e-06,0.084,-6.135,Moving Forward,52,0.0262,94.885,0.266,2014,14.94009
0.0484,['Phantogram'],0.337,223227,0.8590000000000001,0,5imUTBF35uIoABlV9g9da2,0.0,0.203,-3.189,Fall In Love,53,0.106,188.049,0.265,2014,24.42516
0.000177,"['Jeff Williams', 'Casey Lee Williams']",0.393,204259,0.953,0,0eDCe3Y8fMzdCbfrUR0giO,0.000216,0.242,-2.741,Time to Say Goodbye,54,0.151,124.874,0.305,2014,18.2518823
0.114,"['The Neighbourhood', 'French Montana']",0.359,234480,0.625,1,0xSfELjbi6QwmprLDu4Nrx,1.9e-05,0.0787,-9.387,#icanteven (feat. French Montana),58,0.146,111.866,0.154,2014,17.2345
0.0355,['Alvvays'],0.327,207640,0.948,0,22cDldSuj9rgIMXwn4Ofn0,0.515,0.126,-4.355,Adult Diversion,53,0.0711,177.328,0.469,2014,23.37905
0.00397,['Grouplove'],0.476,239658,0.7440000000000001,0,4WUduEPZZG6wiE9B5IklnY,0.000173,0.0982,-6.602,Let Me In - From The Fault in Our Stars Soundtrack,55,0.0515,127.934,0.159,2014,18.611403000000003
0.0531,['Rihanna'],0.261,273293,0.6890000000000001,0,1UuZhGTon3gzXQAJzNa2A4,0.0,0.152,-6.2070000000000025,"Towards The Sun - From The ""Home"" Soundtrack",55,0.0392,170.18,0.263,2015,22.77159
0.0224,['Shane Smith & the Saints'],0.391,257413,0.789,0,46fHLVEQBcyC8VjnmdDF3q,9.95e-06,0.143,-6.166,All I See Is You,54,0.0436,126.544,0.338,2015,18.36706
0.0192,['Moses Gunn Collective'],0.452,228015,0.7290000000000001,0,0Bl1Gt8R9kjz7JO7SYAuhe,0.0583,0.115,-5.6,Shalala,58,0.0304,84.005,0.46,2015,14.50768
0.14,['Koe Wetzel'],0.465,272674,0.6940000000000001,0,09xjHXcaES9oei36G0KzcD,0.0,0.501,-7.213999999999999,Wine Glass,53,0.0436,124.793,0.468,2015,18.0665
0.015,['Halsey'],0.461,260797,0.696,0,1r1WtSrPbAOYHE7zwq4eqK,0.000491,0.21,-5.752000000000002,Haunting,59,0.0486,180.00599999999997,0.311,2015,24.2001
0.0104,['Jeremy Camp'],0.4920000000000001,211600,0.873,0,04ZzbJOLBEhaf8PVQuH96u,0.0,0.0895,-3.193,Christ In Me,55,0.0392,91.078,0.229,2015,14.967060000000002
0.000904,['Grimes'],0.481,264524,0.965,0,4ZcGbQ5dOKX6rJk4yvza9R,0.000727,0.476,-2.9930000000000003,Flesh without Blood,59,0.0875,155.938,0.66,2015,21.8794096
0.0078,['Parker McCollum'],0.399,251520,0.51,0,288eXU0ypAeWJebnN1OpTU,0.0,0.131,-6.53,High Above The Water,53,0.027,141.696,0.119,2015,19.70162
0.192,['Alessia Cara'],0.378,212933,0.752,0,5leOhwmC0JYwAPxo6zGUHP,0.0,0.172,-4.352,Seventeen,54,0.399,95.605,0.321,2015,15.2425
0.0774,"['Wale', 'Jeremih']",0.493,232661,0.542,1,1cOi4OoRlpOznxiRa8FfHf,0.0,0.239,-8.016,The Body (feat. Jeremih),55,0.076,109.399,0.172,2015,16.693360000000006
0.183,['Family and Friends'],0.428,207519,0.7240000000000001,0,4F9jpNQDKRFoyM4Ebpni6S,0.000136,0.251,-7.2639999999999985,Amadeus,58,0.0434,146.917,0.184,2015,20.7762
0.0446,['Toro y Moi'],0.47,267789,0.652,0,6MDLO5bi8mGexqSwF9KmpH,0.0635,0.311,-6.501,Lilly,55,0.0335,139.975,0.524,2015,19.78264
2.97e-05,['Bring Me The Horizon'],0.426,262013,0.934,0,4EyPadLFhtWojU7mkT5hqT,0.0089,0.113,-4.063,Avalanche,63,0.0685,160.077,0.285,2015,22.67309703
0.178,"['Galimatias', 'Alina Baraz']",0.409,211801,0.485,0,1w0xrKoe3aJlkLf6SDq9CN,2.22e-06,0.193,-8.774,Pretty Thoughts,55,0.102,59.05,0.119,2015,11.6145
0.00152,['Bring Me The Horizon'],0.271,274133,0.903,1,3lPn81PFyKvXiyHhlkwkQ4,1.5e-05,0.189,-4.516,Doomed,62,0.1369999999999999,147.159,0.22,2015,21.240848
0.0167,['BRADIO'],0.45,210084,0.857,0,6VBQ4DF4fwPJNA96RbMQWT,0.0,0.202,-2.35,Flyers,61,0.0398,139.064,0.755,2015,20.35183
0.113,['Casey Donahew'],0.496,230280,0.7859999999999999,0,7Hle5ryHW10GCpkE8pxlpx,0.0,0.317,-3.971,What Cowboys Do,55,0.0364,78.008,0.403,2016,13.6245
