acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year,hype_score,album_id,album_name,artists_0_id,artists_0_name,track_number
0.0222,['LCD Soundsystem'],0.92,314557,0.914,0,73mlvsfJM2qwlDUJxeaatI,7.62e-05,0.114,-4.555,Daft Punk Is Playing at My House,58,0.0444,135.923,0.974,2005,19.848280000000003,6aSk2vxoY3xtz7cXKuY9EL,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,1
0.07,['The Flaming Lips'],0.526,222867,0.95,1,2frHiHPVkiNCBMPkYF83Jr,0.00116,0.21,-3.462,The W.A.N.D.,56,0.261,99.041,0.361,2006,15.887300000000002,6oVaKzODiXqew6MScEd7T4,At War with the Mystics,16eRpMNXSQ15wuJoeqguaB,The Flaming Lips,10
0.327,['Coldplay'],0.5660000000000001,285345,0.459,0,2w3eXFL86RgxGtDr8bzwgK,0.000253,0.202,-9.488,A Message,62,0.0289,116.916,0.151,2005,18.109800000000003,4E7bV0pzG0LciBSWTszra6,X&Y,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,8
0.0565,['Deerhunter'],0.318,404413,0.918,0,3jZ0GKAZiDMya0dZPrw8zq,0.293,0.659,-6.287999999999999,Desire Lines,58,0.0373,120.567,0.6,2010,18.190050000000003,1HUMjB15ARg96KIypcGzYY,Halcyon Digest,38zTZcuN7nFvVJ6auhc6V3,Deerhunter,6
0.478,['Vulfpeck'],0.8390000000000001,181260,0.585,0,1DrlLvlYd1FIjNavRm6NdX,0.00281,0.0435,-7.737999999999999,Back Pocket,63,0.153,89.821,0.89,2015,15.5776,0LyGgFrZFXpRKpgj664Xu7,Thrill of the Arts,7pXu47GoqSYRajmBCjxdD6,Vulfpeck,2
0.0578,['Local Natives'],0.5660000000000001,237693,0.5760000000000001,0,53I7CviVHhNYEKth717RLG,0.0,0.0523,-4.859,Coins,59,0.0365,138.045,0.607,2016,19.98472,2qiPY1CqHGexT4yWrQ5uX0,Sunlit Youth,75dQReiBOHN37fQgWQrIAJ,Local Natives,7
0.499,['Shakey Graves'],0.738,319840,0.478,0,5lJ1NMNz6ymwdaL9aejm8e,0.41,0.43,-12.328,Family and Genus,56,0.0507,112.981,0.369,2014,17.1392,1Sq6MrxVCTezf62YzsbzED,And The War Came,1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,6
0.862,['DeVotchKa'],0.617,419680,0.336,0,2muzSvsyjlHTjIZr6gDfMr,0.11,0.417,-10.661,How It Ends,45,0.0363,103.87,0.0393,2004,15.025,223n9IVGQAHd5bW5jkfdex,How It Ends,0hk8VgR64voU5ueK96W2DI,DeVotchKa,5
1.41e-05,['Electric Wizard'],0.0811,523333,0.6579999999999999,0,6DU1WKdUnR7OZkw7BZl9P0,0.903,0.111,-6.803999999999999,Funeralopolis,46,0.051,62.825,0.251,2006,11.09611859,1AxwLCMtx8rnIxkFQKU2LO,Dopethrone,4htjQW3lgIwL6fEJlTOez4,Electric Wizard,2
0.112,['Vampire Weekend'],0.785,178667,0.6920000000000001,0,1W2ox3KxfTEQfO5NdOaK7E,0.00505,0.326,-5.647,White Sky,48,0.0776,102.019,0.944,2010,15.355300000000002,23dMwCv6redn6pcyliSlGk,Contra,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,2
0.67,['Andrew Bird'],0.446,289093,0.643,0,3v6NuKeDbFbaq1lNjw3XtR,0.0008179999999999,0.0951,-7.925,Pulaski at Night,51,0.0561,99.608,0.531,2013,15.2759,1XBBNeT50E40fWKY5SOvb5,I Want to See Pulaski at Night,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,4
0.0442,['Heartless Bastards'],0.677,308067,0.649,0,17ZnveSDBpG9QtL7zLJNPy,0.0695,0.104,-5.9060000000000015,Only For You,49,0.0311,82.016,0.787,2012,13.42728,4g4iUbyDPTz3wCy25Tvivk,Arrow,2wwMTLM2da1sa2JcJslf8W,Heartless Bastards,4
0.0159,['Mitski'],0.36,212184,0.257,0,172rW45GEnGoJUuWfm1drt,0.00512,0.226,-9.655,Your Best American Girl,59,0.0315,76.972,0.13,2016,13.74471,16i5KnBjWgUtwOO7sVMnJB,Puberty 2,2uYWxilOVlUdk4oV9DvwqK,Mitski,5
0.00546,['The Frights'],0.565,186559,0.762,0,4upw9RT8Cs96EQhCuoNryV,0.1689999999999999,0.623,-7.712999999999999,You Are Going to Hate This,58,0.0309,99.932,0.63,2016,16.134254000000002,6HPeu1jcBnHNuzDlHAddc8,You Are Going to Hate This,2HSEdXKVq1WWtBbsIeNjRX,The Frights,9
